class_name,train,validation,test,total,renamed_class_name,Combine
magpie,123,22,51,196,,bird
woodpecker,425,25,59,509,,
ostrich,364,26,98,488,,
penguin,894,42,97,1033,,
raven,429,35,109,573,,
chicken,1421,49,176,1646,,
eagle,1484,53,229,1766,,
owl,1362,30,88,1480,,
duck,4669,68,199,4936,,
canary,231,30,59,320,,bird
goose,2746,60,155,2961,,
swan,1365,28,98,1491,,
falcon,1489,50,191,1730,,
parrot,1414,76,238,1728,,
sparrow,1157,68,168,1393,,
turkey,367,19,60,446,,
crab,740,66,157,963,,
centipede,235,14,55,304,,insect
starfish,436,21,72,529,,
shrimp,617,76,202,895,,
frog,1370,39,111,1520,,
lobster,405,40,104,549,,
jellyfish,729,38,105,872,,
shrimp,617,76,202,895,,
crab,740,66,157,963,,
bee,2856,73,235,3164,,
ladybug,565,23,53,641,,
ant,381,12,47,440,,insect
caterpillar,696,22,96,814,,
butterfly,4937,65,237,5239,,
dragonfly,1360,17,70,1447,,
scorpion,157,17,48,222,,insect
worm,201,16,68,285,,insect
spider,1702,62,225,1989,,
oyster,495,41,88,624,,
snail,615,34,129,778,,
bat (animal),389,6,29,424,,
brown bear,492,15,71,578,,
panda,574,17,44,635,,
polar bear,490,29,83,602,,
cat,12516,345,1012,13873,,
fox,484,41,103,628,,
jaguar (animal),509,35,90,634,,
tiger,1039,19,48,1106,,
lion,1190,57,138,1385,,
dog,20607,1586,4835,27028,,
leopard,694,42,118,854,,
cheetah,568,30,80,678,,
otter,487,36,142,665,,
camel,762,25,56,843,,
cattle,2916,134,388,3438,cow,
giraffe,920,15,49,984,,
rhinoceros,526,17,48,591,,
goat,1112,61,183,1356,,
horse,7073,277,811,8161,,
hamster,454,30,159,643,,
kangaroo,458,21,65,544,,
koala,368,14,45,427,,
mouse,698,45,210,953,,
pig,811,51,135,997,,
rabbit,1179,64,215,1458,,
squirrel,1810,44,114,1968,,
sheep,1188,62,179,1429,,
zebra,621,26,64,711,,
monkey,2143,155,428,2726,,
hippopotamus,388,10,39,437,hippo,
deer,2093,92,337,2522,,
elephant,1732,33,137,1902,,
porcupine,203,24,101,328,,Hedgehog
hedgehog,231,24,103,358,,
bull,1074,73,224,1371,,
antelope,848,78,282,1208,,
mule,584,48,142,774,,
dolphin,886,61,139,1086,,
whale,713,52,147,912,,
sea lion,936,41,93,1070,,
harbor seal,875,43,116,1034,,
insect,6080,198,720,6998,,
alpaca,452,27,72,551,,
tortoise,1324,40,145,1509,,
bird,18525,593,1871,20989,,
