class_name,train,validation,test,total,renamed_class_name,Combine
human eye,23743,1962,5928,31633,eye,
human beard,2771,175,497,3443,beard,
human mouth,24454,1979,5940,32373,mouth,
human body,45398,5686,16903,67987,body,
human foot,979,199,657,1835,foot,
human leg,17454,1799,5499,24752,leg,
human ear,8336,683,1975,10994,ear,
human hair,56391,4325,12945,73661,hair,
human head,49308,3711,11253,64272,face,
human face,331627,3124,9292,344043,face,
human arm,41380,3532,10436,55348,arm,
human nose,28791,2612,7775,39178,nose,
human hand,22093,2056,6274,30423,hand,
bicycle helmet,5006,108,279,5393,helmet,
helmet,7608,315,919,8842,,
shorts,6833,159,532,7524,,
dress,31527,710,2049,34286,,
swimwear,3365,164,522,4051,,
brassiere,1200,71,233,1504,,
shirt,5217,84,265,5566,,
coat,3516,84,316,3916,,
suit,43922,263,780,44965,,
cowboy hat,1977,40,160,2177,,hat
fedora,2910,67,213,3190,,hat
sombrero,505,15,41,561,,hat
sun hat,4296,60,254,4610,,hat
hat,8460,145,393,8998,,
scarf,2003,26,83,2112,,
miniskirt,746,32,98,876,,skirt
skirt,,,,,,
jacket,12911,155,512,13578,,
sunglasses,15125,134,439,15698,,
necklace,2200,56,160,2416,,
sock,682,10,90,782,,
earrings,669,21,62,752,,
tie,7733,97,320,8150,,
goggles,7128,112,355,7595,,
watch,1434,29,90,1553,,
umbrella,3357,27,106,3490,,
glasses,41945,258,819,43022,,
crown,554,21,65,640,,
handbag,1901,61,198,2160,,bag
jeans,31351,285,863,32499,,
roller skates,739,47,133,919,,
boot,1426,102,267,1795,,
high heels,1532,109,257,1898,,
sandal,1298,110,247,1655,,
clothing,327818,6626,20118,354562,,
backpack,715,24,74,813,,
suitcase,408,23,55,486,,bag
briefcase,111,5,17,133,,bag
headphones,1064,39,95,1198,,
glove,733,49,142,924,,
lipstick,1086,51,129,1266,,
footwear,130723,1907,5806,138436,shoe,
Luggage and bags,,,,,bag,
