,class,train,test,validation,Rename,database
0,human_arm,41380.0,10436.0,3532.0,arm,OID
1,human_beard,2771.0,497.0,175.0,beard,OID
2,human_body,45398.0,16903.0,5686.0,body,OID
3,human_ear,8336.0,1975.0,683.0,ear,OID
4,human_eye,23743.0,5928.0,1962.0,eye,OID
5,human_face,331627.0,9292.0,3124.0,face,OID
6,human_foot,979.0,657.0,199.0,foot,OID
7,human_hair,56391.0,12945.0,4325.0,hair,OID
8,human_hand,22093.0,6274.0,2056.0,hand,OID
9,human_head,49308.0,11253.0,3711.0,head,OID
10,human_leg,17454.0,5499.0,1799.0,leg,OID
11,human_mouth,24454.0,5940.0,1979.0,mouth,OID
12,human_nose,28791.0,7775.0,2612.0,nose,OID
13,skull,1501.0,100.0,27.0,,OID
14,hair,,,,,PASCAL-parts
15,head,,,,,PASCAL-parts
16,lear,,,,ear,PASCAL-parts
17,rear,,,,ear,PASCAL-parts
18,reye,,,,eye,PASCAL-parts
19,leye,,,,eye,PASCAL-parts
20,rebrow,,,,eyebrow,PASCAL-parts
21,lebrow,,,,eyebrow,PASCAL-parts
22,rfoot,,,,foot,PASCAL-parts
23,lfoot,,,,foot,PASCAL-parts
24,rhand,,,,hand,PASCAL-parts
25,lhand,,,,hand,PASCAL-parts
26,llarm,,,,arm,PASCAL-parts
27,rlarm,,,,arm,PASCAL-parts
28,ruleg,,,,leg,PASCAL-parts
29,luleg,,,,leg,PASCAL-parts
30,rlleg,,,,leg,PASCAL-parts
31,llleg,,,,leg,PASCAL-parts
32,luarm,,,,arm,PASCAL-parts
33,ruarm,,,,arm,PASCAL-parts
34,mouth,,,,,PASCAL-parts
35,neck,,,,,PASCAL-parts
36,nose,,,,,PASCAL-parts
37,torso,,,,body,PASCAL-parts
