,class,train,test,validation,Rename,database
0,backpack,715.0,74.0,24.0,,OID
1,belt,348.0,33.0,11.0,,OID
2,bicycle_helmet,5006.0,279.0,108.0,helmet,OID
3,boot,1426.0,267.0,102.0,,OID
4,brassiere,1200.0,233.0,71.0,bra,OID
5,coat,3516.0,316.0,84.0,,OID
6,cowboy_hat,1977.0,160.0,40.0,hat,OID
7,crown,554.0,65.0,21.0,,OID
8,dress,31527.0,2049.0,710.0,,OID
9,earrings,669.0,62.0,21.0,,OID
10,fedora,2910.0,213.0,67.0,hat,OID
11,footwear,130723.0,5806.0,1907.0,shoe,OID
12,glasses,41945.0,819.0,258.0,,OID
13,glove,733.0,142.0,49.0,,OID
14,handbag,1901.0,198.0,61.0,bag,OID
15,hat,8460.0,393.0,145.0,,OID
16,headphones,1064.0,95.0,39.0,,OID
17,helmet,7608.0,919.0,315.0,,OID
18,high_heels,1532.0,257.0,109.0,,OID
19,jacket,12911.0,512.0,155.0,,OID
20,jeans,31351.0,863.0,285.0,,OID
21,luggage_and_bags,953.0,121.0,37.0,bag,OID
22,miniskirt,746.0,98.0,32.0,,OID
23,necklace,2200.0,160.0,56.0,,OID
24,personal_flotation_device,1222.0,145.0,48.0,life Jacket,OID
25,roller_skates,739.0,133.0,47.0,,OID
26,sandal,1298.0,247.0,110.0,,OID
27,scarf,2003.0,83.0,26.0,,OID
28,shirt,5217.0,265.0,84.0,,OID
29,shorts,6833.0,532.0,159.0,,OID
30,skirt,974.0,78.0,19.0,,OID
31,sock,682.0,90.0,10.0,,OID
32,sombrero,505.0,41.0,15.0,hat,OID
33,sports_uniform,6531.0,738.0,227.0,sportswear,OID
34,suit,43922.0,780.0,263.0,,OID
35,sun_hat,4296.0,254.0,60.0,hat,OID
36,sunglasses,15125.0,439.0,134.0,,OID
37,swimwear,3365.0,522.0,164.0,,OID
38,tiara,367.0,54.0,14.0,,OID
39,tie,7733.0,320.0,97.0,,OID
40,trousers,4858.0,655.0,213.0,,OID
41,umbrella,3357.0,106.0,27.0,,OID
42,watch,1434.0,90.0,29.0,,OID
43,sock,2231.0,,,,LVIS
44,belt,2203.0,,,,LVIS
45,umbrella,2203.0,,,,LVIS
46,watch,2193.0,,,,LVIS
47,backpack,2182.0,,,,LVIS
48,shoe,2182.0,,,,LVIS
49,jersey,2178.0,,,,LVIS
50,shirt,2174.0,,,,LVIS
51,necklace,2167.0,,,,LVIS
52,glove,2152.0,,,,LVIS
53,earring,2133.0,,,,LVIS
54,napkin,2088.0,,,,LVIS
55,bracelet,1877.0,,,,LVIS
56,Ring,1784.0,,,,LVIS
57,dress,1664.0,,,,LVIS
58,wet suit,1639.0,,,,LVIS
59,boot,1578.0,,,,LVIS
60,tank top,1227.0,,,,LVIS
61,sandal ,1124.0,,,,LVIS
62,sweater,1089.0,,,,LVIS
63,headband,978.0,,,,LVIS
64,swimsuit,892.0,,,,LVIS
65,scarf,863.0,,,,LVIS
66,coat,831.0,,,,LVIS
67,vest,772.0,,,,LVIS
68,beanie,653.0,,,,LVIS
69,apron,565.0,,,,LVIS
70,bow ribbon,561.0,,,,LVIS
71,life jacket,250.0,,,,LVIS
